-16,0
-15.96875,0
-15.9375,0
-15.90625,0
-15.875,0
-15.84375,0
-15.8125,0
-15.78125,0
-15.75,0
-15.71875,0
-15.6875,0
-15.65625,0
-15.625,0
-15.59375,0
-15.5625,0
-15.53125,0
-15.5,0
-15.46875,0
-15.4375,0
-15.40625,0
-15.375,0
-15.34375,0
-15.3125,0
-15.28125,0
-15.25,0
-15.21875,0
-15.1875,0
-15.15625,0
-15.125,0
-15.09375,0
-15.0625,0
-15.03125,0
-15,0
-14.96875,0
-14.9375,0
-14.90625,0
-14.875,0
-14.84375,0
-14.8125,0
-14.78125,0
-14.75,0
-14.71875,0
-14.6875,0
-14.65625,0
-14.625,0
-14.59375,0
-14.5625,0
-14.53125,0
-14.5,0
-14.46875,0
-14.4375,0
-14.40625,0
-14.375,0
-14.34375,0
-14.3125,0
-14.28125,0
-14.25,0
-14.21875,0
-14.1875,0
-14.15625,0
-14.125,0
-14.09375,0
-14.0625,0
-14.03125,0
-14,0
-13.96875,3.9185E-308
-13.9375,4.9385E-307
-13.90625,6.2062E-306
-13.875,7.7772E-305
-13.84375,9.7178E-304
-13.8125,1.2108E-302
-13.78125,1.5042E-301
-13.75,1.8634E-300
-13.71875,2.3018E-299
-13.6875,2.835E-298
-13.65625,3.4816E-297
-13.625,4.2634E-296
-13.59375,5.2055E-295
-13.5625,6.3374E-294
-13.53125,7.6929E-293
-13.5,9.3112E-292
-13.46875,1.1237E-290
-13.4375,1.3521E-289
-13.40625,1.6222E-288
-13.375,1.9406E-287
-13.34375,2.3146E-286
-13.3125,2.7526E-285
-13.28125,3.2637E-284
-13.25,3.8584E-283
-13.21875,4.548E-282
-13.1875,5.3448E-281
-13.15625,6.2626E-280
-13.125,7.3163E-279
-13.09375,8.5217E-278
-13.0625,9.8961E-277
-13.03125,1.1458E-275
-13,1.3226E-274
-12.96875,1.5222E-273
-12.9375,1.7466E-272
-12.90625,1.998E-271
-12.875,2.2788E-270
-12.84375,2.5911E-269
-12.8125,2.9374E-268
-12.78125,3.3198E-267
-12.75,3.7406E-266
-12.71875,4.2019E-265
-12.6875,4.7058E-264
-12.65625,5.2539E-263
-12.625,5.848E-262
-12.59375,6.4893E-261
-12.5625,7.1788E-260
-12.53125,7.9171E-259
-12.5,8.7045E-258
-12.46875,9.5407E-257
-12.4375,1.0425E-255
-12.40625,1.1356E-254
-12.375,1.2331E-253
-12.34375,1.3349E-252
-12.3125,1.4405E-251
-12.28125,1.5497E-250
-12.25,1.6619E-249
-12.21875,1.7767E-248
-12.1875,1.8935E-247
-12.15625,2.0116E-246
-12.125,2.1303E-245
-12.09375,2.2488E-244
-12.0625,2.3665E-243
-12.03125,2.4825E-242
-12,2.5959E-241
-11.96875,2.7058E-240
-11.9375,2.8113E-239
-11.90625,2.9117E-238
-11.875,3.006E-237
-11.84375,3.0934E-236
-11.8125,3.1732E-235
-11.78125,3.2445E-234
-11.75,3.3067E-233
-11.71875,3.3593E-232
-11.6875,3.4016E-231
-11.65625,3.4333E-230
-11.625,3.454E-229
-11.59375,3.4636E-228
-11.5625,3.4618E-227
-11.53125,3.4487E-226
-11.5,3.4244E-225
-11.46875,3.3892E-224
-11.4375,3.3432E-223
-11.40625,3.2871E-222
-11.375,3.2211E-221
-11.34375,3.1461E-220
-11.3125,3.0626E-219
-11.28125,2.9715E-218
-11.25,2.8734E-217
-11.21875,2.7694E-216
-11.1875,2.6601E-215
-11.15625,2.5467E-214
-11.125,2.4298E-213
-11.09375,2.3106E-212
-11.0625,2.1897E-211
-11.03125,2.0682E-210
-11,1.9469E-209
-10.96875,1.8264E-208
-10.9375,1.7075E-207
-10.90625,1.591E-206
-10.875,1.4773E-205
-10.84375,1.3671E-204
-10.8125,1.2608E-203
-10.78125,1.1587E-202
-10.75,1.0612E-201
-10.71875,9.6861E-201
-10.6875,8.8101E-200
-10.65625,7.9856E-199
-10.625,7.2131E-198
-10.59375,6.4926E-197
-10.5625,5.8237E-196
-10.53125,5.2055E-195
-10.5,4.6366E-194
-10.46875,4.1153E-193
-10.4375,3.6398E-192
-10.40625,3.2079E-191
-10.375,2.8172E-190
-10.34375,2.4654E-189
-10.3125,2.1498E-188
-10.28125,1.8679E-187
-10.25,1.6172E-186
-10.21875,1.3952E-185
-10.1875,1.1993E-184
-10.15625,1.0272E-183
-10.125,8.7665E-183
-10.09375,7.4545E-182
-10.0625,6.316E-181
-10.03125,5.3319E-180
-10,4.4848E-179
-9.96875,3.7586E-178
-9.9375,3.1384E-177
-9.90625,2.611E-176
-9.875,2.1642E-175
-9.84375,1.7873E-174
-9.8125,1.4706E-173
-9.78125,1.2055E-172
-9.75,9.8458E-172
-9.71875,8.0114E-171
-9.6875,6.4945E-170
-9.65625,5.2451E-169
-9.625,4.2203E-168
-9.59375,3.3829E-167
-9.5625,2.7015E-166
-9.53125,2.1493E-165
-9.5,1.7034E-164
-9.46875,1.345E-163
-9.4375,1.0579E-162
-9.40625,8.2893E-162
-9.375,6.4704E-161
-9.34375,5.0313E-160
-9.3125,3.8973E-159
-9.28125,3.0073E-158
-9.25,2.3116E-157
-9.21875,1.7699E-156
-9.1875,1.35E-155
-9.15625,1.0256E-154
-9.125,7.762E-154
